WISE Name,Catalog,GLong,GLat,RA,Dec,Radius,HII Region,Membership,VLSR,VLSR (Mol.),Molecule,KDAR,Dist.,Err Dist.,Dist. Method,RGal,z
G301.135+00.015,Q,301.135,0.016,188.926,-62.801,40,,,,,,,,,,,
G301.138-00.227,C,301.138,-0.226,188.900,-63.043,54,,,,-39.4,CS,T,04.4,00.1,TP/Kin (Mol),07.3,-017
G301.282+00.445,Q,301.282,0.445,189.299,-62.381,90,,,,,,,,,,,
G301.489+00.125,C,301.489,0.126,189.711,-62.711,54,,,,,,,,,,,
G301.504+00.560,Q,301.504,0.561,189.789,-62.277,140,,,,,,,,,,,
G301.550+00.301,Q,301.550,0.302,189.862,-62.538,160,,,,,,,,,,,
G301.615-00.340,C,301.615,-0.339,189.940,-63.181,610,,,,,,,,,,,
G301.710-00.056,C,301.710,-0.056,190.176,-62.902,102,,,,,,,,,,,
G301.733+01.103,G,301.733,1.104,190.327,-61.745,80,,G301.814+01.077,,-39.1,CS,T,04.5,00.1,TP/Kin (Mol),07.2,0086
G301.734-00.805,C,301.734,-0.805,190.160,-63.652,230,,,,,,,,,,,
G301.751+00.283,Q,301.751,0.284,190.296,-62.565,33,,,,,,,,,,,
G301.761+00.261,Q,301.761,0.262,190.316,-62.587,33,,,,,,,,,,,
G301.817+00.784,G,301.817,0.784,190.479,-62.067,127,RCW68,G301.814+01.077,,-37.4,13CO,T,04.5,00.1,TP/Kin (Mol),07.2,0061
G301.909+00.355,Q,301.909,0.356,190.644,-62.498,43,,,,,,,,,,,
G301.937+00.319,Q,301.937,0.320,190.702,-62.535,21,,,,,,,,,,,
G301.996+00.947,K,301.996,0.948,190.872,-61.909,1154,G301.814+01.077,G301.814+01.077,-42.0,,,T,04.5,00.1,TP/Kin,07.2,0074
G302.024-00.113,Q,302.024,-0.113,190.861,-62.970,88,,,,-35.2,90GHz,T,04.5,00.2,TP/Kin (Mol),07.2,-008
G302.032-00.063,K,302.032,-0.062,190.882,-62.920,118,G302.025-00.044,,-27.0,-35.4,CS,,,,,,
G302.076+00.029,C,302.076,0.029,190.985,-62.830,175,,,,,,,,,,,
G302.131-00.005,Q,302.131,-0.004,191.103,-62.865,104,,,,,,,,,,,
G302.151-00.949,C,302.151,-0.949,191.090,-63.810,75,,,,31.4,CS,F,12.1,01.2,OG (Mol)/Kin,10.5,-200
G302.155-00.917,Q,302.155,-0.917,191.101,-63.778,24,,,,,,,,,,,
G302.155-00.653,Q,302.155,-0.652,191.117,-63.513,18,,,,,,,,,,,
